ws,wt,wc,wcl,wd,dm,Score_FGM_mean,duration_s_mean,success_count_sum,fgm_min_d_mean,fgm_ratio_mean
0.68,2.06,1.32,2.46,2.72,0.56,26.24909391408952,13.805714285714286,7,0.0030363814285714287,0.27136839456746326
0.86,2.61,1.72,2.69,2.94,0.58,25.995894394288865,14.002857142857142,7,0.0031771600000000005,0.2984712232925368
1.57,2.36,1.6,2.44,2.73,0.57,25.991053223150114,13.91,7,0.0028871542857142854,0.2423507068820567
0.83,2.42,1.68,2.58,2.83,0.58,25.983349728026973,13.657142857142857,7,0.002297954285714286,0.24491652889687396
0.91,2.61,1.77,2.73,2.92,0.59,25.893886255145038,13.805714285714286,7,0.002582704285714286,0.23161059287899133
1.58,2.05,1.75,2.61,2.83,0.49,25.81447419933371,13.97,7,0.0019675057142857144,0.21342981285141804
1.42,2.33,1.54,2.41,2.72,0.55,25.32828858153838,14.054285714285713,7,0.00217491,0.2766989286167426
1.39,2.74,1.62,2.48,2.88,0.5,25.22915678863837,13.84142857142857,7,0.00276022,0.23323083431889838
0.81,2.47,1.66,2.63,2.86,0.59,25.0680256669381,13.962857142857143,7,0.00173321,0.246546396069103
0.89,2.13,1.77,2.79,3.14,0.59,24.666127064979502,14.044285714285715,7,0.0033568114285714287,0.23698133224933476
1.71,1.56,0.95,1.28,0.5,0.45,36.103351715860974,12.001666666666665,6,0.004171998333333334,0.35120653442043287
2.81,1.37,0.58,1.09,1.03,0.29,35.885584367093024,12.068333333333333,6,0.0032709650000000002,0.3592078506156651
1.59,1.45,0.89,1.18,0.46,0.41,34.55481444879697,12.383333333333333,6,0.004213766666666666,0.32917972856333194
1.6,1.5,0.9,1.23,0.46,0.43,34.44336559046799,12.063333333333333,6,0.003371856666666667,0.33686720381174834
2.55,1.66,0.77,1.19,1.26,0.35,34.00781425263414,12.353333333333333,6,0.0021833433333333335,0.27547712876509345
1.67,1.52,0.95,1.25,0.5,0.44,33.555450570598666,12.438333333333333,6,0.0023544966666666665,0.32821395205564224
2.55,1.37,0.66,1.21,1.19,0.33,33.0617298225631,12.241666666666667,6,0.0032537633333333334,0.26773388700363665
2.7,1.83,0.73,1.15,1.09,0.33,32.58042797430712,12.665,6,0.003714475,0.2872540182231775
2.28,1.51,0.83,1.1,1.12,0.3,31.866678638725205,12.685,6,0.003611935,0.2759574201631427
2.52,1.36,0.65,1.19,1.18,0.33,31.197560459826974,12.838333333333333,6,0.002256005,0.27005212089384384
