# x, y, yaw_rad, speed_mps, dist_to_wall
-55.2444,24.3521,-1.14155,7,1.06521
-55.2112,24.2797,-1.14155,7,1.0998
-55.1781,24.2072,-1.14154,7,1.0998
-55.1449,24.1348,-1.14153,7,1.07662
-55.1117,24.0623,-1.14151,7,1.0998
-55.0786,23.9899,-1.14148,7,1.07662
-55.0454,23.9174,-1.14144,7,1.07662
-55.0122,23.845,-1.14139,7,1.05361
-54.9791,23.7725,-1.14134,7,1.07662
-54.9459,23.7001,-1.14127,7,1.07662
-54.9127,23.6276,-1.1412,7,1.06521
-54.8795,23.5552,-1.14111,7,1.0998
-54.8463,23.4827,-1.14102,7,1.07662
-54.8131,23.4103,-1.14091,7,1.0998
-54.7799,23.3378,-1.14078,7,1.05361
-54.7466,23.2654,-1.14065,7,1.07662
-54.7134,23.1929,-1.1405,7,1.0998
-54.6802,23.1205,-1.14034,7,1.07662
-54.6469,23.048,-1.14016,7,1.07662
-54.6136,22.9756,-1.13998,7,1.05361
-54.5803,22.9031,-1.13977,7,1.07662
-54.547,22.8307,-1.13955,7,1.06521
-54.5137,22.7582,-1.13932,7,1.07662
-54.4803,22.6858,-1.13908,7,1.0998
-54.4469,22.6133,-1.13882,7,1.07662
-54.4135,22.5409,-1.13854,7,1.0998
-54.3801,22.4684,-1.13825,7,1.05361
-54.3466,22.396,-1.13796,7,1.07662
-54.3132,22.3235,-1.13765,7,1.05361
-54.2797,22.2511,-1.13732,7,1.07662
-54.2461,22.1786,-1.13698,7,1.07662
-54.2126,22.1062,-1.13664,7,1.06521
-54.179,22.0337,-1.13629,7,1.0998
-54.1454,21.9613,-1.13592,7,1.07662
-54.1117,21.8888,-1.13554,7,1.07662
-54.078,21.8164,-1.13516,7,1.05361
-54.0443,21.7439,-1.13476,7,1.07662
-54.0105,21.6715,-1.13435,7,1.0998
-53.9767,21.599,-1.13394,7,1.05361
-53.9429,21.5266,-1.13352,7,1.07662
-53.909,21.4541,-1.13309,7,1.05361
-53.8751,21.3817,-1.13265,7,1.07662
-53.8412,21.3092,-1.1322,7,1.07662
-53.8072,21.2368,-1.13175,7,1.06521
-53.7732,21.1643,-1.13129,7,1.0998
-53.7391,21.0919,-1.13081,7,1.07662
-53.705,21.0194,-1.13034,7,1.07662
-53.6709,20.947,-1.12986,7,1.0998
-53.6367,20.8745,-1.12938,7,1.07662
-53.6024,20.8021,-1.12889,7,1.0998
-53.5682,20.7296,-1.12839,7,1.05361
-53.5338,20.6572,-1.12791,7,1.07662
-53.4995,20.5847,-1.12742,7,1.05361
-53.4651,20.5123,-1.12692,7,1.07662
-53.4306,20.4398,-1.12642,7,1.07662
-53.3961,20.3674,-1.12594,7,1.05361
-53.3616,20.2949,-1.12546,7,1.07662
-53.327,20.2225,-1.12498,7,1.05361
-53.2924,20.15,-1.1245,7,1.05361
-53.2577,20.0776,-1.12404,7,1.07662
-53.223,20.0051,-1.12358,7,1.06521
-53.1882,19.9327,-1.12312,7,1.0998
-53.1535,19.8602,-1.12268,7,1.05361
-53.1186,19.7878,-1.12224,7,1.07662
-53.0838,19.7153,-1.12182,7,1.0998
-53.0489,19.6429,-1.12139,7,1.07662
-53.0139,19.5704,-1.12097,7,1.07662
-52.9789,19.498,-1.12057,7,1.05361
-52.9439,19.4255,-1.12016,7,1.07662
-52.9089,19.3531,-1.11975,7,1.0998
-52.8738,19.2806,-1.11935,7,1.05361
-52.8386,19.2082,-1.11895,7,1.07662
-52.8035,19.1357,-1.11854,7,1.05361
-52.7683,19.0633,-1.11813,7,1.07662
-52.733,18.9908,-1.11771,7,1.07662
-52.6978,18.9184,-1.11728,7,1.05361
-52.6625,18.8459,-1.11685,7,1.07662
-52.6271,18.7735,-1.11639,7,1.07662
-52.5917,18.701,-1.11592,7,1.05361
-52.5563,18.6286,-1.11544,7,1.07662
-52.5208,18.5561,-1.11493,7,1.05361
-52.4853,18.4837,-1.1144,7,1.07662
-52.4497,18.4112,-1.11385,7,1.07662
-52.4141,18.3388,-1.11329,7,1.05361
-52.3784,18.2663,-1.11271,7,1.07662
-52.3427,18.1939,-1.11208,7,1.05361
-52.3069,18.1214,-1.11145,7,1.05361
-52.2711,18.049,-1.1108,7,1.07662
-52.2352,17.9765,-1.11013,7,1.05361
-52.1992,17.9041,-1.10942,7,1.07662
-52.1632,17.8316,-1.10871,7,1.07662
-52.1271,17.7592,-1.10799,7,1.05361
-52.091,17.6867,-1.10726,7,1.07662
-52.0548,17.6143,-1.10649,7,1.05361
-52.0185,17.5418,-1.10573,7,1.05361
-51.9821,17.4694,-1.10498,7,1.07662
-51.9457,17.3969,-1.10421,7,1.05361
-51.9092,17.3245,-1.10343,7,1.07662
-51.8726,17.252,-1.10266,7,1.07662
-51.836,17.1796,-1.1019,7,1.05361
-51.7993,17.1071,-1.10115,7,1.07662
-51.7625,17.0347,-1.10038,7,1.05361
-51.7257,16.9622,-1.09964,7,1.05361
-51.6888,16.8898,-1.09892,7,1.07662
-51.6518,16.8173,-1.09821,7,1.05361
-51.6148,16.7449,-1.09749,7,1.07662
-51.5777,16.6724,-1.0968,7,1.07662
-51.5405,16.6,-1.09613,7,1.05361
-51.5033,16.5275,-1.09548,7,1.07662
-51.466,16.4551,-1.09483,7,1.0998
-51.4287,16.3826,-1.0942,7,1.05361
-51.3912,16.3102,-1.0936,7,1.07662
-51.3538,16.2377,-1.09301,7,1.05361
-51.3163,16.1653,-1.09242,7,1.07662
-51.2787,16.0928,-1.09185,7,1.07662
-51.2411,16.0204,-1.0913,7,1.05361
-51.2034,15.9479,-1.09076,7,1.07662
-51.1657,15.8755,-1.09022,7,1.0998
-51.1279,15.803,-1.08969,7,1.04238
-51.0901,15.7306,-1.08919,7,1.05361
-51.0522,15.6581,-1.08868,7,1.07662
-51.0143,15.5857,-1.08817,7,1.05361
-50.9764,15.5132,-1.08767,7,1.05361
-50.9383,15.4408,-1.08718,7,1.07662
-50.9003,15.3683,-1.08669,7,1.05361
-50.8622,15.2959,-1.08619,7,1.07662
-50.8241,15.2234,-1.08569,7,1.07662
-50.7859,15.151,-1.08519,7,1.05361
-50.7476,15.0785,-1.08469,7,1.07662
-50.7093,15.0061,-1.08417,7,1.0998
-50.671,14.9336,-1.08365,7,1.05361
-50.6326,14.8612,-1.08312,7,1.07662
-50.5942,14.7887,-1.08258,7,1.08857
-50.5557,14.7163,-1.08202,7,1.05361
-50.5172,14.6438,-1.08144,7,1.05361
-50.4786,14.5714,-1.08086,7,1.07662
-50.44,14.4989,-1.08025,7,1.05361
-50.4013,14.4265,-1.0796,7,1.07662
-50.3625,14.354,-1.07895,7,1.07662
-50.3237,14.2816,-1.07828,7,1.05361
-50.2848,14.2091,-1.07757,7,1.07662
-50.2459,14.1367,-1.07681,7,1.0998
-50.2069,14.0642,-1.07604,7,1.05361
-50.1678,13.9918,-1.07525,7,1.07662
-50.1286,13.9193,-1.07442,7,1.08857
-50.0894,13.8469,-1.07353,7,1.05361
-50.0501,13.7744,-1.07262,7,1.05361
