# time_s,speed_mps,steer_rad
86.1477,3.5,-0.0402273
86.2481,3.5,-0.00772727
86.3485,3.5,0
86.4489,3.5,0
86.5493,3.5,0
86.6498,3.5,0
86.7027,3.5,0.0727273
86.8032,3.5,0.0402273
86.9036,3.5,0.00772727
87.004,3.5,0
87.1044,3.5,0
87.2047,3.5,0
87.2822,3.5,-0.0727273
87.3828,3.5,-0.0402273
87.4833,3.5,-0.00772727
87.5837,3.5,0
87.6842,3.5,0
87.74,3.5,0.0727273
87.8405,3.5,0.0402273
87.9407,3.5,0.00772727
88.041,3.5,0
88.1414,3.5,0
88.2419,3.5,0
88.3423,3.5,0
88.4427,3.5,0
88.5431,3.5,0
88.6435,3.5,0
88.7439,3.5,0
88.8636,3.5,0.0402273
88.964,3.5,0.00772727
89.065,3.5,0
89.1654,3.5,0
89.2658,3.5,0
89.3722,3.5,0.0402273
89.4727,3.5,0.00772727
89.5731,3.5,0
89.6736,3.5,0
89.7185,3.5,0.0727273
89.819,3.5,0.0402273
89.9195,3.5,0.00772727
90.0201,3.5,0
90.1204,3.5,0
90.2212,3.5,0
90.3217,3.5,0
90.4221,3.5,0
90.5224,3.5,0
90.623,3.5,0
90.7234,3.5,0
90.8245,3.5,0
90.9249,3.5,0
91.0253,3.5,0
91.0845,3.5,0.0727273
91.1849,3.5,0.0402273
91.2853,3.5,0.00772727
91.3857,3.5,0
91.474,3.5,0.0727273
91.5743,3.5,0.0402273
91.6747,3.5,0.00772727
91.7576,3.5,0.0804545
91.858,3.5,0.0479545
91.9584,3.5,0.0154545
92.0588,3.5,0
92.1751,3.5,0.0402273
92.2756,3.5,0.00772727
92.376,3.5,0
92.4917,3.5,-0.0402273
92.592,3.5,-0.00772727
92.6924,3.5,0
92.7258,3.5,0.0727273
92.8262,3.5,0.0402273
92.9266,3.5,0.00772727
93.0271,3.5,0
93.1275,3.5,0
93.2278,3.5,0
93.2632,3.5,0.0727273
93.3637,3.5,0.0402273
93.4641,3.5,0.00772727
93.5644,3.5,0
93.6542,3,0
93.7547,3,0
93.8552,3,0
93.9556,3,0
94.056,3,0
94.171,3,0.05
94.2336,3,0.13
94.334,3,0.1
94.3765,3,0.18
94.4771,3,0.15
94.5295,3,0.23
94.63,3,0.2
94.7304,3,0.17
94.8308,3,0.14
94.9493,3,0.19
95.0231,3,0.25
95.1236,3,0.22
95.224,3,0.19
95.3244,3,0.16
95.3866,3.5,0.1275
95.4871,3.5,0.095
95.5597,4,0.06
95.6601,4,0.025
95.7606,4,0
95.8611,4,0
95.9614,4,0
96.0615,4,-0.0666667
96.1619,4,-0.0316667
96.2623,4,0
96.3629,4,0
96.3892,4.5,0
96.4898,4.5,0
96.532,5,0
96.6323,5,0
96.7322,5,0.0571429
96.8327,5,0.0171429
96.9331,5,0
97.0335,5,0
97.134,5,0
97.2344,5,0
97.271,5,0.0571429
97.3715,5,0.0171429
97.472,5,0
97.5781,5,0.0171429
97.6785,5,0
97.7789,5,0
97.8794,5,0
97.9797,5,0
98.0397,5.5,0
98.1402,5.5,0
98.2406,5.5,0
98.3298,6,0
98.4302,6,0
98.5307,6,0
98.631,6,0
98.6918,6.5,0
98.7922,6.5,0
98.8926,6.5,0
98.9979,6.5,0
99.0984,6.5,0
99.1987,6.5,0
99.2991,6.5,0
99.3738,6.5,-0.0470588
99.4743,6.5,0
99.5747,6.5,0
99.6752,6.5,0
99.7192,6.5,-0.0470588
99.8197,6.5,0
99.9201,6.5,0
100.021,6.5,0
100.121,6.5,0
100.144,6.5,-0.0470588
100.245,6.5,0
100.345,6.5,0
100.445,6.5,0
100.546,6.5,0
100.646,6.5,0
100.746,6.5,0
100.814,6.5,0.0470588
100.914,6.5,0
101.015,6.5,0
101.115,6.5,0
101.216,6.5,0
101.316,6.5,0
101.417,6.5,0
101.465,6.5,-0.0470588
101.565,6.5,0
101.666,6.5,0
101.766,6.5,0
101.866,6.5,0
101.917,7,0
102.017,7,0
102.085,7,0
102.185,7,0
102.275,7,0
102.375,7,0
102.475,7,0
102.523,7,0.0444444
102.623,7,0
102.723,7,0
102.824,7,0
102.924,7,0
103.024,7,0
103.125,7,0
103.225,7,0
103.326,7,0
103.349,7,0.0444444
103.449,7,0
103.55,7,0
103.65,7,0
103.75,7,0
103.851,7,0
103.951,7,0
104.052,7,0
104.092,7,0.0444444
104.192,7,0
104.293,7,0
104.393,7,0
104.494,7,0
104.594,7,0
104.695,7,0
104.795,7,0
104.878,7,0.0444444
104.979,7,0
105.073,7,0.0444444
105.173,7,0
105.273,7,0
105.374,7,0
105.452,6.5,0
105.519,6.5,0.0470588
105.619,6.5,0
105.719,6.5,0
105.82,6.5,0
105.92,6.5,0
106.02,6.5,0
106.073,6.5,0.0470588
106.173,6.5,0
106.274,6.5,0
106.374,6.5,0
106.475,6.5,0
106.495,0,0
106.596,0,0
106.696,0,0
106.796,0,0
106.897,0,0
106.997,0,0
107.098,0,0
107.198,0,0
107.299,0,0
107.399,0,0
107.499,0,0
107.6,0,0
107.7,0,0
107.801,0,0
107.901,0,0
108.001,0,0
108.102,0,0
108.202,0,0
108.303,0,0
108.403,0,0
108.504,0,0
108.604,0,0
108.704,0,0
108.805,0,0
108.905,0,0
109.006,0,0
109.106,0,0
109.206,0,0
109.307,0,0
