ws,wt,wc,wcl,wd,dm,Score_FGM_mean,Score_FGM_max,Score_FRENET_mean,Score_FRENET_max,duration_s_mean,valid_count_sum,fgm_min_d_mean,fgm_ratio_mean,frenet_ratio_mean
0.88,2.53,1.72,2.63,2.87,0.58,29.13400312203496,34.31204155451717,27.531197058285098,35.92058921677343,13.379999999999999,7,0.004466887142857143,0.23599690956516803,0.7640030904348319
1.54,2.29,1.55,2.42,2.71,0.56,28.81043990164492,31.59073430009095,28.233227686222488,35.309755484112735,13.404285714285715,7,0.002386852857142857,0.23991175402967505,0.760088245970325
1.38,2.4,1.64,2.5,2.78,0.57,28.664029587257808,32.81979241460241,29.188990268425616,38.81152532275812,13.324285714285713,7,0.002819521428571429,0.24917724867960095,0.7508227513203991
2.33,1.53,0.81,1.23,1.36,0.38,28.65863234394237,35.77897513493765,30.579248271196814,40.62749825683753,13.01,7,0.0018539671428571428,0.20856330355795952,0.7914366964420404
2.76,1.55,0.9,1.47,1.82,0.46,28.53893959159453,37.18092172951463,27.285048517534367,35.016364679236936,13.372857142857143,7,0.00276834,0.19793850818891154,0.8020614918110885
0.85,2.45,1.69,2.58,2.81,0.57,28.503509326941856,34.759801077600116,25.456229367036823,33.86489876856056,13.714285714285714,7,0.00187225,0.2915636609980551,0.7084363390019449
0.88,2.21,1.52,2.36,2.64,0.54,28.346356778860134,34.69794627113022,26.32971691931556,35.1076664687075,13.49,7,0.0025405285714285714,0.24196986937685563,0.7580301306231444
2.76,1.34,0.86,1.39,1.67,0.44,28.277384351368458,31.061594969606265,27.2634183055973,32.72998435235776,13.338571428571429,7,0.00218596,0.22109666432983865,0.7783664469403506
0.9,2.22,1.51,2.39,2.69,0.55,28.243028456059836,37.08445234525595,26.530966992187224,36.59415101075235,13.56,7,0.0031508771428571426,0.23051054899303505,0.769489451006965
1.58,2.49,1.7,2.57,2.82,0.58,28.209684397717048,31.321242869876226,26.13938424674496,33.18380890838084,13.627142857142857,7,0.004076298571428571,0.261094533238894,0.738905466761106
1.48,2.41,1.83,2.59,2.88,0.58,28.17444685541119,39.991651880558415,25.691346570608946,37.45171169478036,13.704285714285716,7,0.004057217142857143,0.28260997095180207,0.7173900290481979
2.5,1.24,0.72,1.19,1.25,0.33,28.129667760064486,38.477957563848975,28.865801559316367,39.106688702503575,13.182857142857143,7,0.0034191857142857143,0.19405343872424363,0.8059465612757564
1.92,2.11,1.37,2.14,2.48,0.52,28.060568442603056,32.80734281288561,28.363639052467494,35.54322291475368,13.285714285714286,7,0.0015874614285714286,0.2185593210522081,0.7814406789477919
0.91,2.12,1.43,2.33,2.59,0.53,28.048291698493415,31.74979574111684,26.06176854482151,32.46822376072343,13.748571428571427,7,0.0018345271428571429,0.28860301916724546,0.7113969808327545
2.75,1.54,0.89,1.46,1.81,0.46,27.901620244006512,32.86447787294055,27.028987496295247,29.960841396974196,13.468571428571428,7,0.0026156028571428574,0.21533302282306474,0.7846669771769353
0.72,1.77,1.18,2.29,2.64,0.51,27.892579579038085,36.162370377496366,27.605473577291225,38.506080022242195,13.467142857142857,7,0.0025256385714285713,0.2558918680578554,0.7441081319421446
0.79,2.01,1.36,2.39,2.7,0.55,27.753861149328145,37.47448243716831,26.507259348797472,41.77252506605469,13.617142857142856,7,0.002675365714285714,0.2344010013564463,0.7655989986435537
1.99,2.08,1.44,2.25,2.59,0.52,27.723944076917462,36.76771556833553,26.16092076654518,30.953669690449022,13.725714285714286,7,0.00267263,0.24211922471584854,0.7578807752841514
1.57,2.54,1.95,2.77,3.12,0.6,27.69850233782152,35.40834376945818,25.24276726175231,27.764297066655537,13.844285714285714,7,0.008320355714285714,0.24472139749648422,0.7552786025035159
0.63,1.88,1.28,2.56,2.99,0.58,27.582403316049284,33.537658410268634,26.369999882002364,36.871158450376505,13.608571428571429,7,0.0031081485714285714,0.2162547539625543,0.7837452460374458
1.47,2.4,1.8,2.62,2.89,0.57,27.50058128187863,34.95884899608189,27.421069678140316,32.59000055819612,13.472857142857142,7,0.0035533599999999998,0.2577958783937819,0.7422041216062182
2.8,1.32,0.84,1.37,1.65,0.43,27.319713030020093,30.83664341095218,27.815088788295014,33.39928599634173,13.315714285714284,7,0.002642032857142857,0.22998934356116957,0.7700106564388304
0.89,2.14,1.44,2.3,2.61,0.52,27.241677809986637,35.339201184104695,24.970091661925803,33.46051836465386,13.807142857142859,7,0.0031479957142857146,0.28234823029643136,0.7176517697035686
1.43,1.91,1.24,1.9,2.22,0.45,26.99677216212958,32.54112483145415,26.302050083148135,36.66782468823291,13.728571428571428,7,0.003119067142857143,0.263913883721964,0.736086116278036
1.4,2.28,1.55,2.41,2.7,0.56,26.856159909523853,35.908301625270454,25.377543139482025,36.36612574365837,13.722857142857142,7,0.00256344,0.24927759784368014,0.7507224021563198
0.9,2.59,1.76,2.67,2.91,0.59,26.828238418122947,34.41413118925124,27.200461081475485,42.5049126267467,13.502857142857142,7,0.001626532857142857,0.2514462531897178,0.7485537468102822
0.79,2.36,1.63,2.53,2.77,0.57,26.824264211921566,30.939329846563457,26.830502644234805,34.826533094626214,13.617142857142856,7,0.0021718857142857145,0.2514572722098505,0.7485427277901495
