# x,y,yaw_rad,speed_mps,dist_to_wall
3.37714,27.40172,-0.00401,4.96302,1.3
3.47714,27.40132,-0.00351,5.0231,1.3
3.57714,27.40097,-0.00238,5.08248,1.3
3.67714,27.40073,-0.00193,5.14116,1.3
3.77714,27.40054,-0.00111,5.19919,1.3
3.87714,27.40043,-0.0012,5.25657,1.3
3.97714,27.40031,-0.00111,5.31334,1.3
4.07714,27.4002,-0.00025,5.36951,1.3
4.17714,27.40017,-0.00082,5.42509,1.3
4.27714,27.40009,9e-05,5.48011,1.3
4.37714,27.4001,5e-05,5.53458,1.3
4.47714,27.4001,-0.0011,5.58852,1.3
4.57714,27.39999,9e-05,5.64195,1.3
4.67714,27.4,-4e-05,5.69487,1.3
4.77714,27.4,1e-05,5.74731,1.3
4.87714,27.4,-0.0,5.79927,1.3
4.97714,27.4,0.0,5.85078,1.3
5.07714,27.4,0.0,5.90182,1.3
5.17714,27.4,-0.0,5.95245,1.3
5.27714,27.4,0.0,6.00263,1.3
5.37714,27.4,-0.0,6.0524,1.3
5.47714,27.4,0.0,6.10177,1.3
5.57714,27.4,0.0,6.15074,1.3
5.67714,27.4,-0.0,6.19932,1.3
5.77714,27.4,0.0,6.24753,1.3
5.87714,27.4,-0.0,6.29536,1.3
5.97714,27.4,0.0,6.34284,1.3
6.07714,27.4,0.0,6.38996,1.3
6.17714,27.4,0.0,6.43674,1.3
6.27714,27.4,0.0,6.48318,1.3
6.37714,27.4,0.0,6.52928,1.3
6.47714,27.4,0.0,6.57507,1.3
6.57714,27.4,0.0,6.62054,1.3
6.67714,27.4,0.0,6.66571,1.3
6.77714,27.4,0.0,6.71056,1.3
6.87714,27.4,0.0,6.75512,1.3
6.97714,27.4,0.0,6.79938,1.3
7.07714,27.4,0.0,6.84335,1.3
7.17714,27.4,0.0,6.88712,1.3
7.27714,27.4,0.0,6.93016,1.3
7.37714,27.4,0.0,6.97481,1.3
7.47714,27.4,0.0,6.99952,1.3
7.57714,27.4,0.0,6.99985,1.3
7.67714,27.4,0.0,7.00007,1.3
7.77714,27.4,0.0,6.99998,1.3
7.87714,27.4,0.0,7.0,1.3
7.97714,27.4,0.0,7.0,1.3
8.07714,27.4,0.0,7.0,1.3
8.17714,27.4,0.0,7.0,1.3
8.27714,27.4,0.0,7.0,1.3
8.37714,27.4,0.0,7.0,1.3
8.47714,27.4,0.0,7.0,1.3
8.57714,27.4,0.0,7.0,1.3
8.67714,27.4,0.0,7.0,1.3
8.77714,27.4,0.0,7.0,1.29997
8.87714,27.4,0.0,7.0,1.3001
8.97714,27.4,0.0,7.0,1.29985
